Date,DIS,WMT,WBA,VZ,UNH,TRV,PG,NKE,MSFT,MRK,MMM,MCD,JPM,KO,JNJ,INTC,IBM,HON,HD,GS,CSCO,CVX,CAT,BA,AAPL,AMGN,AXP
2016-01-04,0.0008522867999999999,-0.00021784008,0.001207903,0.00039625167999999996,0.0013366938,0.0009036361999999999,0.00019051135,0.0015428662,0.0015070139999999999,-0.0009540319400000001,0.0005259514,-7.471441999999999e-05,0.0008389353999999999,0.00014287978,-0.00058592856,0.0004080236,-0.0002597645,0.0006643384700000001,0.0010778755,0.0005533993,-0.17686462,-0.0013988018,-0.00010149181000000001,-0.19389324,-0.00011911988000000002,0.0009336993,-0.0005747676
2016-01-05,0.00084617734,-0.00022466481,0.0012085885,0.00040993093999999996,0.0013722181,0.00093105435,0.00022189319,0.0015064329000000001,0.0015372932,-0.0009448528,0.0005259663,-5.3852797e-05,0.0008371621400000001,0.00018070638,-0.0005661398000000001,0.00042062998,-0.00026021153,0.00066298246,0.0010929108,0.00058060884,-0.17686462,-0.0013705641,-9.812415000000001e-05,-0.19389324,-0.00013150275,0.0009690895699999999,-0.0005774051
2016-01-06,0.0008574575,-0.000229612,0.0012097806,0.00041748583,0.001416266,0.0009530782699999999,0.00024861097,0.001491636,0.0015551001,-0.0009041130499999999,0.0005258322,-3.3438206e-05,0.00083363056,0.00021777302000000005,-0.0005464405,0.00042562187000000004,-0.00025603175,0.0006649792,0.00111489,0.00061549246,-0.17686462,-0.0013591647,-9.709596600000001e-05,-0.19389324,-0.00016446412,0.0009949133,-0.0005700141
2016-01-07,0.0008753389,-0.0002329722,0.0012115538,0.00042848290000000003,0.0014896393,0.0009795725,0.00028459728,0.0014664829000000002,0.0015949607,-0.0008726716,0.0005255863,-1.564622e-05,0.00083102286,0.00026064366000000004,-0.0005225539,0.00043539703,-0.00024545938,0.00066690147,0.0011489838,0.0006574243300000001,-0.17686462,-0.0013010055,-9.866059000000001e-05,-0.19389324,-0.00021778047,0.0010267794,-0.0005514771
2016-01-08,0.0008959621000000001,-0.00023289025,0.0012129992,0.00044238567000000003,0.0016227365,0.0010243952,0.00032678992000000003,0.001439631,0.0016625822,-0.00084143877,0.0005251691000000001,2.8312206000000003e-06,0.0008302033000000001,0.00032180547999999997,-0.0004904866,0.00045754015,-0.00020931661,0.0006708652,0.0012060255,0.0007022917,-0.17686462,-0.0012129843,-0.00010190904,-0.19389324,-0.00032137334,0.0010796189,-0.00052297115
2016-01-11,0.0009101033,-0.00023217499,0.0012141466000000001,0.00046087801,0.0017960072,0.0010624975,0.00038035959999999997,0.0014250576000000002,0.0016989111999999998,-0.00081428885,0.0005246997,1.6346574e-05,0.0008284598599999998,0.00038442016,-0.0004528165,0.00046916305999999996,-0.00017244369,0.0006811917,0.0012654811,0.00072830915,-0.17686462,-0.0011225343,-0.00010794401000000002,-0.19389324,-0.00041536987,0.0011347234,-0.00049075484
2016-01-12,0.0009175241,-0.00023196637999999998,0.0012144147999999999,0.0004747808,0.0019818991,0.0010805875,0.00041613727999999993,0.0014400183999999999,0.0017264187,-0.00074988604,0.00052461773,2.5883317000000003e-05,0.00082588196,0.00043931602999999997,-0.00041981040000000004,0.0004630983,-0.00014342368,0.0006943792,0.001309678,0.00072546303,-0.17686462,-0.0010233372,-0.00011450052,-0.19389324,-0.00046734512000000004,0.0011978969,-0.0004605055
2016-01-13,0.000915125,-0.00023216754,0.0012139380000000001,0.0004878044,0.0021014512,0.0010926872,0.00044748932,0.0014540701999999999,0.0017286539000000002,-0.0006839633,0.00052276254,2.7075409999999996e-05,0.0008247345699999999,0.00046580285000000004,-0.0003976971,0.00044755638,-0.0001193136,0.0007073581,0.001332581,0.0007081479,-0.17686462,-0.0009636134,-0.00012275576999999999,-0.19389324,-0.0004837513,0.0012157112,-0.00043083727
2016-01-14,0.0009085238,-0.00023125857000000003,0.00121364,0.0005081444999999999,0.002243057,0.0011295527,0.00048137456,0.0014513284,0.0017410964,-0.00061783195,0.0005194098,2.656877e-05,0.00082723796,0.00048910826,-0.0003784895,0.0004440546,-9.764731e-05,0.0007152855400000001,0.001364693,0.0007047355,-0.17686462,-0.00089897215,-0.00013309717,-0.19389324,-0.0005147159,0.0012705103,-0.0003681332
2016-01-15,0.0009046346000000001,-0.00022926182,0.0012130736999999999,0.00051777065,0.002333805,0.00114654,0.0005042553,0.0014528185,0.0016957968,-0.00050905347,0.00051677227,3.5643578000000005e-05,0.00083211064,0.00050503016,-0.00035324693,0.00044715404999999997,-7.994473e-05,0.0007277875999999999,0.0014075041,0.0006777048,-0.17686462,-0.0009232163400000001,-0.00013770163,-0.19389324,-0.0005158484,0.0012419224,-0.00031761825
